date,time,location,operator,flight no,route,AC type,registration,cn/ln,aboard,passengers_on_aboard,crew_on_aboard,fatality,passengers_fatality,crew_fatality,ground_fatality,summary
"January 05, 1970",2225,"Stockholm, Sweden",Spantax,?,Stockholm - Zurich,Convair CV-990-30A-5,EC-BNM,30-10-32,10.0,7.0,3.0,5.0,5.0,0.0,0,"The plane developed trouble in the No. 4 engine and the takeoff was aborted and the plane returned to the gate.  It was decided to continue the ferry flight to Zurich on three engines.  As the aircraft started its take-off roll the nose yawed to the right. This was corrected by retarding no.1 engine power. The aircraft rotated at 134kts with 27deg. Flaps. While climbing, the aircraft banked 4 to 6 degrees to the right and the airspeed dropped to 10kts below V2. The plane then contacted some tree tops, banked 10 to 15 degrees and crashed. Unexpected early loss of external visual reference after take-off and loss of directional control during transition from visual to instrument flying. Windshear."
"January 12, 1970",1200,Near Villia Greece,Military - Royal Hellenic Air Force,?,Military exercise,Douglas C-47,?,?,27.0,22.0,5.0,23.0,19.0,4.0,0,"The aircraft, carrying paratroopers, crashed into a mountain in fog."
"January 13, 1970",0600,"Faleolo, Western Samoa",Polynesian Airlines,208B,"Apia, Western Samoa - Pago Pago, American Samoa",Douglas DC-3,5W-FAC,16964,32.0,29.0,3.0,32.0,29.0,3.0,0,"Crashed into a lagoon 400 yards past the end of the runway, seconds after taking off after the plane pitched up and stalled. Windshear, precipitation and turbulence."
"January 14, 1970",?,"Mt. Pumacona, Peru",Faucett,?,Trujillo - Juanjui,Douglas DC-4,OB-R-776,10591,28.0,24.0,4.0,28.0,24.0,4.0,0,"Flew into a 10,500 ft. mountain. The mental state of the pilot-in-command adversely affected his judgement and efficiency. Contributing factors  ATC error, navigational aids not functional."
"January 25, 1970",1913,"Near Delhi, India",Royal Nepal Airlines,?,Kathmandu - Delhi,Fokker F-27 Friendship 200,9N-AAR,1965,23.0,18.0,5.0,1.0,0.0,1.0,0,The aircraft crashed short of the runway after entering a thunderstorm and encountering windshear.
"January 25, 1970",?,"Near Poza Rica, Mexico",Charter -Federal Electricity Commission,?,Mexico City - Poza Rica,Convair CV-240-2,XB-DOK,071,19.0,15.0,4.0,18.0,14.0,4.0,0,Crashed into Vega Hill located six km east of the airfield while on approach. The plane was carrying Mexican journalists covering the presidential campaign.
"January 28, 1970",2053,"Near Batagai, Russia",Aeroflot,?,Chokurdakh - Batagay,Antonov AN-24,CCCP-47701,59900202,34.0,28.0,6.0,34.0,28.0,6.0,0,Crashed into a mountain while on approach after executing a premature descent.
"January 28, 1970",0749,"Cleveland, Ohio",TAG Airlines,?,Cleveland - Detroit,De Havilland Dove,N2300H, 04444,9.0,7.0,2.0,9.0,7.0,2.0,0,The aircraft suffered an airframe failure while en route. Fatigue fracture of wing attachment fitting bolts. FAA replacement time exceeded.
"January 29, 1970",1927,"Near Murmansk, Russia",Aeroflot,145,Leningrad - Murmansk,Tupolev TU-124,CCCP-45083,5351706,11.0,32.0,6.0,11.0,8.0,3.0,0,Collided with a snow-covered rocky mountain slope 40 km northeast of Batagay Airport at an altitude of 1020 meters. The crew had initiated a descent prematurely.
"February 04, 1970",1345,"Apuseni mountains, Romania",Tarom,?,Bucharest - Oradea,Antonov AN-24V,YR-AMT,77303310,22.0,18.0,4.0,21.0,17.0,4.0,0," While descending in poor weather conditions, the airplane struck tree tops, stalled and crashed in a snow covered hill located in the Vladeasa Mountain Range, about 73 km southeast of Oradea Airport."
"February 04, 1970",2055,"Near Corrientes, Argentina",Aerolineas Argentinas,?,Corrientes - Rosario,Hawker Siddeley HS-748 1,LV-HGW,1539,37.0,33.0,4.0,37.0,33.0,4.0,0,Crashed in a storm 8 minutes after taking off. Went into a dive and crashed at a high rate of speed into the ground. Severe turbulence and adverse weather conditions.
"February 06, 1970",1542,"Near Samarkand, USSR",Aeroflot,045,Tashkent - Samarkand,Ilyushin IL-18V,CCCP-75798,182004303,106.0,98.0,8.0,92.0,85.0,7.0,0,"Crashed into a mountain at an elevation of 5,000 ft. 32 km northeast of Samarkand Airport.  Misidentification of the aircraft by the air traffic controller."
"February 10, 1970",1837,"Long Island Sound, Connecticut",Pilgrim Airlines,203,"Groton, CT - New York, NY",de Havilland Canada DHC-6 Twin Otter 100,N124PM,41,5.0,3.0,2.0,5.0,3.0,2.0,0,Crashed into Long Island Sound while on a flight from Groton to New York.  Fuel exhaustion resulting from inadequate flight preparation and erroneous in-flight decisions by the pilot-in-command.
"February 12, 1970",0738,"Puerto Infrida, Colombia",Lineas Aéreas La Urraca,?,Villavicencio - Puerto Inírida,Douglas DC-3 (C-47-DL),HK-1270,4544,12.0,8.0,4.0,12.0,8.0,4.0,2,Crashed while attempting to return to the airport after reporting an overspeeding propeller.
"February 15, 1970",1830,"Off Santo Domingo, Dominican Republic",Compania Dominicana de Aviacion,?,Santo Domingo - San Juan,McDonnell Douglas DC-9-32,HI-177,47500/546,102.0,97.0,5.0,102.0,97.0,5.0,0,"Two minutes after taking off , the crew reported losing an engine and turned back towards the airport. The plane then descended rapidly and crashed into the sea. Featherweight boxer Carlos Cruz and members of  the Puerto Rican women's national volleyball team killed."
"February 19, 1970",?,Congo,Air Congo,?,?,Douglas DC-3,9Q-CUD,9780,17.0,14.0,3.0,17.0,14.0,3.0,0,Crashed under unknown circumstances.
